valid_time,year,t2m_c,d2m_c,RH,tp_mm,ssrd_MJ,municipio
2018-11-01,2018,18.656647,16.684235,88.31091,16.668816,15.406103,La Union-Narino
2018-11-01,2018,15.939728,13.759186,86.89699,6.6067057,16.71368,Ricaurte-Moniquira
2018-12-01,2018,18.925446,15.417267,80.09552,9.214487,19.204384,La Union-Narino
2018-12-01,2018,15.603912,11.583282,76.98825,1.6931789,19.91888,Ricaurte-Moniquira
2019-01-01,2019,19.399567,15.4888,78.12147,9.617917,18.862465,La Union-Narino
2019-01-01,2019,15.69693,12.017853,78.75662,2.5627105,19.02904,Ricaurte-Moniquira
2019-02-01,2019,19.16043,16.552277,84.862305,17.286577,18.280928,La Union-Narino
2019-02-01,2019,16.254547,13.392609,83.16244,6.5864882,18.771729,Ricaurte-Moniquira
2019-03-01,2019,19.443268,16.544586,83.34071,14.356628,18.917631,La Union-Narino
2019-03-01,2019,16.192535,13.891144,86.24224,9.303175,17.629904,Ricaurte-Moniquira
2019-04-01,2019,19.118317,16.595856,85.321304,17.073776,17.567036,La Union-Narino
2019-04-01,2019,16.369293,13.886993,85.2537,10.702878,17.210903,Ricaurte-Moniquira
2019-05-01,2019,19.115997,16.261139,83.53551,15.667215,17.168941,La Union-Narino
2019-05-01,2019,16.394928,13.787018,84.56411,12.802493,16.122581,Ricaurte-Moniquira
2019-06-01,2019,19.507477,15.5121155,77.715164,11.522721,16.676235,La Union-Narino
2019-06-01,2019,16.586823,13.092438,79.84414,8.361055,18.08022,Ricaurte-Moniquira
2019-07-01,2019,19.521881,14.056183,70.69206,6.6750536,17.810375,La Union-Narino
2019-07-01,2019,16.126373,12.116119,77.122665,5.528867,19.2984,Ricaurte-Moniquira
2019-08-01,2019,20.45816,10.849396,54.05053,0.8841516,21.208977,La Union-Narino
2019-08-01,2019,15.687897,11.237701,74.84452,3.6120934,20.293056,Ricaurte-Moniquira
2019-09-01,2019,20.021149,13.7388,67.139725,6.7155714,20.066368,La Union-Narino
2019-09-01,2019,16.014069,12.178864,77.99851,6.854699,19.471489,Ricaurte-Moniquira
2019-10-01,2019,18.311554,15.636261,84.40779,16.979668,18.57234,La Union-Narino
2019-10-01,2019,15.423004,12.716949,83.91593,8.4861145,17.359377,Ricaurte-Moniquira
2019-11-01,2019,18.749054,16.450104,86.50522,15.041783,16.612984,La Union-Narino
2019-11-01,2019,15.726959,13.328766,85.65418,5.1826315,17.419249,Ricaurte-Moniquira
2019-12-01,2019,18.803375,16.546906,86.74442,16.960613,17.107115,La Union-Narino
2019-12-01,2019,16.105377,13.10025,82.37143,4.1928563,17.984753,Ricaurte-Moniquira
2020-01-01,2020,19.644562,15.869293,78.83773,6.70952,19.149632,La Union-Narino
2020-01-01,2020,15.903961,11.7969055,76.59751,1.0996295,19.809984,Ricaurte-Moniquira
2020-02-01,2020,19.600494,16.220001,80.84295,10.692735,20.008415,La Union-Narino
2020-02-01,2020,16.67984,12.010162,73.936066,2.7857933,20.450352,Ricaurte-Moniquira
2020-03-01,2020,19.26529,16.585724,84.4893,16.746244,18.576448,La Union-Narino
2020-03-01,2020,16.279938,13.139557,81.669266,5.582109,20.565008,Ricaurte-Moniquira
2020-04-01,2020,19.201447,16.710968,85.50337,21.33564,17.518858,La Union-Narino
2020-04-01,2020,16.557526,13.636383,82.878845,8.645922,18.591951,Ricaurte-Moniquira
2020-05-01,2020,19.558014,16.686432,83.497635,16.542036,16.420183,La Union-Narino
2020-05-01,2020,17.248688,13.700836,79.65888,9.536047,17.43816,Ricaurte-Moniquira
2020-06-01,2020,19.021759,15.778229,81.47732,13.742637,17.032331,La Union-Narino
2020-06-01,2020,16.227448,12.8055725,80.17359,7.909939,17.394968,Ricaurte-Moniquira
2020-07-01,2020,18.945465,14.954742,77.65358,12.143329,17.301785,La Union-Narino
2020-07-01,2020,16.069733,12.473785,79.24228,8.978983,17.389536,Ricaurte-Moniquira
2020-08-01,2020,19.120758,14.168121,73.00637,9.215429,19.313776,La Union-Narino
2020-08-01,2020,16.27066,12.356598,77.634186,7.6705675,18.224848,Ricaurte-Moniquira
2020-09-01,2020,18.871979,14.897247,77.72246,10.984108,20.67608,La Union-Narino
